show_id,titulo,tipo,plataforma,director,elenco,pais,fecha_agregado,anio_lanzamiento,clasificacion,duracion,genero,descripcion,puntaje
netflix_s3480,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,Movie,Netflix,Mana Yasuda,,,2019-09-28,2019,TV-PG,45.0,Documentaries,An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.,
hbomax_tm15621,Brief Encounter,Movie,HBO Max,David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey",GB,1945-01-01,1945,,86.0,drama,"Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.",8.0
hbomax_tm97455,Fair Game,Movie,HBO Max,Doug Liman,"Naomi Watts, Sean Penn, Sam Shepard, Noah Emmerich",US,2010-01-01,2010,PG-13,108.0,drama,"Wife and mother Valerie Plame has a double life as a CIA operative, hiding her vocation from family and friends. Her husband, Joseph Wilson, writes a controversial article in The New York Times, refuting stories about the sale of enriched uranium to Iraq, Then Valerie's secret work and identity is leaked to the press. With her cover blown and other people endangered, Valerie's career and personal life begin to unravel.",6.8
prime_s4305,We Were Children,Movie,Prime Video,Tim Wolochatiuk,"Rene Batson, Taya Ayotte Bourns, Alice Dano, Justin Ducharme",Canada,,2012,13+,83.0,Drama,"As young children, Lyna and Glen were taken from their homes and placed in church-run boarding schools. The trauma of this experience was made worse by years of untold physical, sexual and emotional abuse, the effects of which persist in their adult lives. The profound impact of the Canadian government's residential school system is conveyed unflinchingly through their eyes.",
hbomax_tm77588,Casablanca,Movie,HBO Max,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",US,1943-01-01,1943,PG,102.0,drama,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",8.5
disney_ts128555,United States of Animals,TV Show,Disney+,,,US,2016-01-01,2016,TV-PG,1.0,documentation,"The United States of Animals is your guide to amazing animals doing incredible things around the country. Showcasing the best and most accessible wildlife and revealing secrets behind the fascinating things that animals do, this field guide shows you where and when to go, and what to look for to help you become the wildlife expert you have always dreamed of being.",6.4
hbomax_tm107470,East of Eden,Movie,HBO Max,Elia Kazan,"James Dean, Julie Harris, Raymond Massey, Richard Davalos",US,1955-01-01,1955,PG,115.0,romance,"In the Salinas Valley in and around World War I, Cal Trask feels he must compete against overwhelming odds with his brother for the love of their father. Cal is frustrated at every turn, from his reaction to the war, how to get ahead in business and in life, and how to relate to his estranged mother.",7.8
prime_s909,Star Trek: Deep Space Nine,TV Show,Prime Video,,"Avery Brooks, Nana Visitor, Colm Meany, Rene Auberjonoi, Armin Shimerman, Cirroc Lofton, Michael Dorn, Alexander Siddig",,,1999,TV-PG,7.0,Drama,The mixed Deep Space Nine crew of Federation and Bajoran officers winds up the seventh and final season of the show with suspenseful episodes that try to pull together all the plot threads (or at least the biggest ones).,
netflix_s5269,Jerry Before Seinfeld,Movie,Netflix,Michael Bonfiglio,Jerry Seinfeld,United States,2017-09-19,2017,TV-14,62.0,Stand-Up Comedy,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy.",
netflix_s1492,AK vs AK,Movie,Netflix,Vikramaditya Motwane,"Anil Kapoor, Anurag Kashyap",India,2020-12-25,2020,TV-MA,109.0,Comedies,"After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor’s daughter, filming the search for her in real time.",
